iter	Passed	Remaining
1359	5060	180975
1360	5063	180969
1361	5067	180962
1362	5071	180956
1363	5074	180948
1364	5078	180934
1365	5081	180910
1366	5084	180905
1367	5089	180915
1368	5092	180908
1369	5095	180889
1370	5099	180878
1371	5103	180867
1372	5106	180869
1373	5110	180858
1374	5113	180842
1375	5117	180827
1376	5120	180810
1377	5123	180791
1378	5127	180778
1379	5130	180772
1380	5134	180773
1381	5138	180768
1382	5141	180753
1383	5145	180740
1384	5148	180723
1385	5152	180713
1386	5155	180702
1387	5159	180690
1388	5162	180669
1389	5165	180653
1390	5169	180652
1391	5172	180636
1392	5176	180619
1393	5179	180606
1394	5183	180596
1395	5187	180596
1396	5190	180574
1397	5193	180567
1398	5197	180568
1399	5201	180555
1400	5204	180536
1401	5207	180526
1402	5211	180505
1403	5214	180488
1404	5218	180484
1405	5221	180473
1406	5224	180448
1407	5228	180429
1408	5231	180429
1409	5235	180416
1410	5238	180405
1411	5242	180394
1412	5245	180380
1413	5249	180366
1414	5252	180351
1415	5256	180343
1416	5259	180326
1417	5263	180330
1418	5267	180333
1419	5270	180317
1420	5274	180300
1421	5277	180282
1422	5281	180278
1423	5284	180273
1424	5288	180273
1425	5292	180267
1426	5296	180268
1427	5299	180262
1428	5303	180258
1429	5306	180251
1430	5310	180243
1431	5314	180238
1432	5317	180221
1433	5321	180215
1434	5324	180197
1435	5328	180189
1436	5331	180183
1437	5335	180178
1438	5339	180172
1439	5342	180161
1440	5345	180149
1441	5349	180150
1442	5353	180148
1443	5356	180129
1444	5360	180111
1445	5364	180113
1446	5367	180106
1447	5371	180103
1448	5374	180084
1449	5377	180066
1450	5381	180063
1451	5385	180055
1452	5388	180043
1453	5392	180040
1454	5396	180039
1455	5399	180024
1456	5402	180009
1457	5406	179992
1458	5409	179971
1459	5412	179957
1460	5416	179960
1461	5420	179953
1462	5423	179947
1463	5427	179943
1464	5431	179943
1465	5435	179935
1466	5439	179962
1467	5444	179989
1468	5448	179994
1469	5454	180061
1470	5457	180060
1471	5461	180054
1472	5464	180031
1473	5468	180019
1474	5471	180003
1475	5474	179988
1476	5478	179980
1477	5481	179961
1478	5485	179959
1479	5488	179949
1480	5492	179934
1481	5495	179917
1482	5499	179903
1483	5502	179887
1484	5505	179877
1485	5509	179862
1486	5512	179845
1487	5515	179833
1488	5519	179818
1489	5522	179804
1490	5526	179799
1491	5529	179788
1492	5533	179780
1493	5536	179760
1494	5540	179765
1495	5544	179767
1496	5548	179767
1497	5552	179769
1498	5555	179764
1499	5559	179757
1500	5563	179751
1501	5566	179729
1502	5569	179720
1503	5572	179699
1504	5576	179692
1505	5580	179692
1506	5584	179693
1507	5587	179681
1508	5591	179674
1509	5594	179661
1510	5598	179647
1511	5601	179637
1512	5604	179617
1513	5608	179614
1514	5611	179596
1515	5615	179586
1516	5619	179584
1517	5622	179576
1518	5626	179576
1519	5630	179576
1520	5633	179556
1521	5636	179540
1522	5640	179535
1523	5643	179518
1524	5647	179507
1525	5650	179488
1526	5654	179484
1527	5658	179491
1528	5661	179476
1529	5664	179460
1530	5668	179451
1531	5671	179441
1532	5675	179439
1533	5678	179423
1534	5682	179428
1535	5686	179436
1536	5690	179440
1537	5694	179444
1538	5698	179442
1539	5702	179431
1540	5706	179433
1541	5709	179434
1542	5713	179436
1543	5717	179426
1544	5720	179421
1545	5724	179409
1546	5728	179410
1547	5732	179414
1548	5735	179410
1549	5739	179412
1550	5743	179412
1551	5747	179415
1552	5751	179414
1553	5754	179409
1554	5758	179400
1555	5761	179391
1556	5765	179379
1557	5768	179359
1558	5772	179356
